2025-08-01 12:21:30 |leena | 8451235621 | Room : 231 |Subtotal: 140 | Service: ₹13.3 | GST: ₹23.94 | Total: ₹170.24
2025-08-01 12:36:23 |utsav | 95461225613 | Room : 45 |Subtotal: 50 | Service: ₹4.75 | GST: ₹8.55 | Total: ₹60.8
2025-08-01 12:46:20 |hash | 8564114523 | Room : 25 |Subtotal: 50 | Service: ₹4.75 | GST: ₹8.55 | Total: ₹60.8
2025-08-06 10:17:22 |gyan | 8564125631 | Room : 23 |Subtotal: 260 | Service: ₹24.18 | GST: ₹43.52 | Total: ₹309.5
2025-08-06 10:46:56 |reena | 8564125632 | Room : 52 |Subtotal: 2250 | Service: ₹216.0 | GST: ₹388.8 | Total: ₹2764.8
2025-08-07 11:10:12,prayag,8564125632,,20,1.9,3.42,24.32
2025-08-07 16:30:08,priyansh,9854125632,,35,3.33,5.98,42.56
2025-08-07 16:44:24,yash,9854152361,65,260,24.7,44.46,316.16
2025-08-07 17:01:55,harsh,8451236214,,20,1.9,3.42,24.32
2025-08-07 17:03:32,um,9854125632,,20,1.9,3.42,24.32
2025-08-07 17:17:35,oscar,8954152361,,50,4.75,8.55,60.8
2025-08-07 17:44:51,poojan,9854152136,,20,1.9,3.42,24.32
2025-08-08 09:44:48,gunjan,854125632,,50,4.75,8.55,60.8
2025-08-08 09:51:01,heet,8451265231,,35,3.33,5.98,42.56
2025-08-08 09:58:43,harman,9854121452,,140,13.3,23.94,170.24
2025-08-13 09:57:08,radhe,9854151236,56,245,23.28,41.89,297.92
2025-08-13 10:14:07,ishan,9854125631,12,140,13.3,23.94,170.24
2025-08-13 10:18:11,uma,7841252361,,100,9.5,17.1,121.6
